"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2013","49","PM2.5","Flathead Valley","30-029-0049","AQS","28","12","49"
"01/02/2013","43","PM2.5","Flathead Valley","30-029-0049","AQS","29","15","43"
"01/03/2013","34","PM10","White Fish Dead End","30-029-0009","AQS","26","34","23"
"01/04/2013","69","PM2.5","Flathead Valley","30-029-0049","AQS","21","22","69"
"01/05/2013","71","PM2.5","Flathead Valley","30-029-0049","AQS","19","20","71"
"01/06/2013","34","PM2.5","Flathead Valley","30-029-0049","AQS","33","12","34"
"01/07/2013","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","33","7","5"
"01/08/2013","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","7","10"
"01/09/2013","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","8","7"
"01/10/2013","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","8","15"
"01/11/2013","36","PM10","White Fish Dead End","30-029-0009","AQS","35","36","14"
"01/12/2013","38","PM2.5","Flathead Valley","30-029-0049","AQS","30","16","38"
"01/13/2013","47","PM2.5","Flathead Valley","30-029-0049","AQS","29","11","47"
"01/14/2013","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","15","27"
"01/15/2013","62","PM2.5","Flathead Valley","30-029-0049","AQS","24","15","62"
"01/16/2013","86","PM2.5","Flathead Valley","30-029-0049","AQS","25","27","86"
"01/17/2013","103","PM2.5","Flathead Valley","30-029-0049","AQS","29","35","103"
"01/18/2013","125","PM2.5","Flathead Valley","30-029-0049","AQS","27","43","125"
"01/19/2013","102","PM2.5","Flathead Valley","30-029-0049","AQS","17","33","102"
"01/20/2013","33","PM2.5","Flathead Valley","30-029-0049","AQS","29","22","33"
"01/21/2013","61","PM2.5","Flathead Valley","30-029-0049","AQS","21","32","61"
"01/22/2013","106","PM2.5","Flathead Valley","30-029-0049","AQS","23","49","106"
"01/23/2013","86","PM2.5","Flathead Valley","30-029-0049","AQS","18","35","86"
"01/24/2013","58","PM2.5","Flathead Valley","30-029-0049","AQS","30","19","58"
"01/25/2013","66","PM2.5","Flathead Valley","30-029-0049","AQS","19","18","66"
"01/26/2013","38","PM2.5","Flathead Valley","30-029-0049","AQS","24","9","38"
"01/27/2013","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","11","17"
"01/28/2013","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","10","17"
"01/29/2013","33","PM2.5","Flathead Valley","30-029-0049","AQS","24","15","33"
"01/30/2013","30","PM2.5","Flathead Valley","30-029-0049","AQS","28","16","30"
"01/31/2013","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","12","19"
"02/01/2013","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","33","13","7"
"02/02/2013","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","16","37"
"02/03/2013","52","PM2.5","Flathead Valley","30-029-0049","AQS","32","24","52"
"02/04/2013","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","18","12"
"02/05/2013","40","PM2.5","Flathead Valley","30-029-0049","AQS","32","13","40"
"02/06/2013","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","11","13"
"02/07/2013","51","PM2.5","Flathead Valley","30-029-0049","AQS","29","17","51"
"02/08/2013","52","PM2.5","Flathead Valley","30-029-0049","AQS","31","27","52"
"02/09/2013","50","PM2.5","Flathead Valley","30-029-0049","AQS","32","19","50"
"02/10/2013","53","PM2.5","Flathead Valley","30-029-0049","AQS","31","18","53"
"02/11/2013","41","PM2.5","Flathead Valley","30-029-0049","AQS","28","28","41"
"02/12/2013","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","16","10"
"02/13/2013","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","9","."
"02/14/2013","48","PM10","White Fish Dead End","30-029-0009","AQS","41","48","43"
"02/15/2013","54","PM10","White Fish Dead End","30-029-0009","AQS","38","54","34"
"02/16/2013","60","PM2.5","Flathead Valley","30-029-0049","AQS","27","22","60"
"02/17/2013","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","9","8"
"02/18/2013","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","20","13"
