"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2009","67","PM2.5","White Fish Dead End","30-029-0009","AQS","10","13","19","67"
"01/02/2009","45","PM2.5","White Fish Dead End","30-029-0009","AQS","17","16",".","45"
"01/03/2009","67","PM2.5","White Fish Dead End","30-029-0009","AQS","16","29",".","67"
"01/04/2009","86","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","13","27",".","86"
"01/05/2009","57","PM2.5","White Fish Dead End","30-029-0009","AQS","17","27",".","57"
"01/06/2009","39","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","20","24",".","39"
"01/07/2009","66","PM2.5","White Fish Dead End","30-029-0009","AQS","15","19","16","66"
"01/08/2009","59","PM2.5","White Fish Dead End","30-029-0009","AQS","15","27",".","59"
"01/09/2009","52","PM2.5","White Fish Dead End","30-029-0009","AQS","6","33",".","52"
"01/10/2009","62","PM2.5","White Fish Dead End","30-029-0009","AQS","7","33",".","62"
"01/11/2009","47","PM2.5","White Fish Dead End","30-029-0009","AQS","6","28",".","47"
"01/12/2009","63","PM2.5","White Fish Dead End","30-029-0009","AQS","16","24",".","63"
"01/13/2009","64","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","22","23","25","64"
"01/14/2009","65","PM2.5","White Fish Dead End","30-029-0009","AQS","20","19",".","65"
"01/15/2009","52","PM2.5","White Fish Dead End","30-029-0009","AQS","15","13",".","52"
"01/16/2009","73","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","18","14",".","73"
"01/17/2009","54","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","17","21",".","54"
"01/18/2009","31","PM2.5","White Fish Dead End","30-029-0009","AQS","7","20",".","31"
"01/19/2009","40","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","9","19","16","40"
"01/20/2009","44","PM2.5","White Fish Dead End","30-029-0009","AQS","9","17",".","44"
"01/21/2009","45","PM2.5","White Fish Dead End","30-029-0009","AQS","9","14",".","45"
"01/22/2009","51","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","11","29",".","51"
"01/23/2009","38","PM2.5","White Fish Dead End","30-029-0009","AQS","11","30",".","38"
"01/24/2009","33","PM2.5","White Fish Dead End","30-029-0009","AQS","8","30",".","33"
"01/25/2009","40","PM2.5","White Fish Dead End","30-029-0009","AQS","8","36","18","40"
"01/26/2009","71","PM2.5","White Fish Dead End","30-029-0009","AQS","9","33",".","71"
"01/27/2009","63","PM2.5","White Fish Dead End","30-029-0009","AQS","11","31",".","63"
"01/28/2009","80","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","14","29",".","80"
"01/29/2009","55","PM2.5","White Fish Dead End","30-029-0009","AQS","16","28",".","55"
"01/30/2009","53","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","16","36",".","53"
"01/31/2009","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","39","8","13"
"02/01/2009","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","38",".","28"
"02/02/2009","44","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","14","31",".","44"
"02/03/2009","83","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","11","19",".","83"
"02/04/2009","78","PM2.5","White Fish Dead End","30-029-0009","AQS","15","24",".","78"
"02/05/2009","99","PM2.5","White Fish Dead End","30-029-0009","AQS","16","18",".","99"
"02/06/2009","73","PM2.5","White Fish Dead End","30-029-0009","AQS","14","27","21","73"
"02/07/2009","55","PM2.5","White Fish Dead End","30-029-0009","AQS","13","28",".","55"
"02/08/2009","46","PM2.5","White Fish Dead End","30-029-0009","AQS","10","24",".","46"
"02/09/2009","72","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","10","27",".","72"
"02/10/2009","53","PM2.5","White Fish Dead End","30-029-0009","AQS","13","32",".","53"
"02/11/2009","48","PM2.5","White Fish Dead End","30-029-0009","AQS","10","30",".","48"
"02/12/2009","60","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","13","32","16","60"
"02/13/2009","47","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","15","28",".","47"
"02/14/2009","55","PM2.5","White Fish Dead End","30-029-0009","AQS","11","30",".","55"
"02/15/2009","58","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","9","30",".","58"
"02/16/2009","46","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","10","32",".","46"
"02/17/2009","51","PM2.5","White Fish Dead End","30-029-0009","AQS","10","31",".","51"
"02/18/2009","70","PM2.5","White Fish Dead End","30-029-0009","AQS","13","30","26","70"
"02/19/2009","57","PM2.5","White Fish Dead End","30-029-0009","AQS","15","35",".","57"
"02/20/2009","59","PM2.5","White Fish Dead End","30-029-0009","AQS",".","38",".","59"
"02/21/2009","57","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","11","34",".","57"
"02/22/2009","55","PM2.5","White Fish Dead End","30-029-0009","AQS","10","38",".","55"
"02/23/2009","69","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","14","22",".","69"
"02/24/2009","55","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","13","38","14","55"
"02/25/2009","33","PM2.5","White Fish Dead End","30-029-0009","AQS","7","29",".","33"
"02/26/2009","31","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","10","28",".","31"
"02/27/2009","56","PM2.5","White Fish Dead End","30-029-0009","AQS","9","38",".","56"
"02/28/2009","50","PM2.5","White Fish Dead End","30-029-0009","AQS","13","35",".","50"
"03/01/2009","59","PM2.5","White Fish Dead End","30-029-0009","AQS","13","32",".","59"
"03/02/2009","77","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","10","26","52","77"
"03/03/2009","55","PM2.5","White Fish Dead End","30-029-0009","AQS","10","30",".","55"
"03/04/2009","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","42",".","34"
"03/05/2009","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","41",".","17"
"03/06/2009","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","41",".","."
"03/07/2009","43","PM2.5","White Fish Dead End","30-029-0009","AQS","8","42",".","43"
"03/08/2009","38","PM2.5","White Fish Dead End","30-029-0009","AQS","6","37","20","38"
"03/09/2009","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","36",".","30"
"03/10/2009","50","PM2.5","White Fish Dead End","30-029-0009","AQS","8","33",".","50"
"03/11/2009","58","PM2.5","White Fish Dead End","30-029-0009","AQS","9","41",".","58"
"03/12/2009","63","PM2.5","White Fish Dead End","30-029-0009","AQS","9","44",".","63"
