"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2010","40","PM2.5","White Fish Dead End","30-029-0009","AQS","14","21",".","40"
"01/02/2010","55","PM2.5","White Fish Dead End","30-029-0009","AQS","10","25","11","55"
"01/03/2010","46","PM2.5","White Fish Dead End","30-029-0009","AQS","11","19",".","46"
"01/04/2010","48","PM2.5","White Fish Dead End","30-029-0009","AQS","19","25",".","48"
"01/05/2010","46","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","15","31",".","46"
"01/06/2010","51","PM2.5","White Fish Dead End","30-029-0009","AQS","13","31",".","51"
"01/07/2010","60","PM2.5","White Fish Dead End","30-029-0009","AQS","13","25",".","60"
"01/08/2010","72","PM2.5","White Fish Dead End","30-029-0009","AQS","15","22","21","72"
"01/09/2010","71","PM2.5","White Fish Dead End","30-029-0009","AQS","11","20",".","71"
"01/10/2010","68","PM2.5","White Fish Dead End","30-029-0009","AQS","11","15",".","68"
"01/11/2010","86","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","16","14",".","86"
"01/12/2010","83","PM2.5","White Fish Dead End","30-029-0009","AQS","14","13",".","83"
"01/13/2010","66","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS",".","9",".","66"
"01/14/2010","59","PM2.5","White Fish Dead End","30-029-0009","AQS",".","26","16","59"
"01/15/2010","50","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS",".","34",".","50"
"01/16/2010","43","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS",".","31",".","43"
"01/17/2010","54","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","13",".","54"
"01/18/2010","48","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS",".","13",".","48"
"01/19/2010","52","PM2.5","White Fish Dead End","30-029-0009","AQS",".","17",".","52"
"01/20/2010","53","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","21","14","53"
"01/21/2010","49","PM2.5","White Fish Dead End","30-029-0009","AQS",".","23",".","49"
"01/22/2010","36","PM2.5","White Fish Dead End","30-029-0009","AQS",".","24",".","36"
"01/23/2010","45","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","22",".","45"
"01/24/2010","53","PM2.5","White Fish Dead End","30-029-0009","AQS",".","19",".","53"
"01/25/2010","53","PM2.5","White Fish Dead End","30-029-0009","AQS",".","21",".","53"
"01/26/2010","59","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","26","16","59"
"01/27/2010","51","PM2.5","White Fish Dead End","30-029-0009","AQS",".","25",".","51"
"01/28/2010","57","PM2.5","White Fish Dead End","30-029-0009","AQS",".","25",".","57"
"01/29/2010","74","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","20",".","74"
"01/30/2010","53","PM2.5","White Fish Dead End","30-029-0009","AQS",".","29",".","53"
"01/31/2010","71","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS",".","25",".","71"
"02/01/2010","79","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","15","26","79"
"02/02/2010","58","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS",".","24",".","58"
"02/03/2010","52","PM2.5","White Fish Dead End","30-029-0009","AQS",".","19",".","52"
"02/04/2010","56","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","23",".","56"
"02/05/2010","49","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS",".","23",".","49"
"02/06/2010","52","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS",".","17",".","52"
"02/07/2010","54","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","23","13","54"
"02/08/2010","40","PM2.5","White Fish Dead End","30-029-0009","AQS",".","24",".","40"
"02/09/2010","48","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS",".","29",".","48"
"02/10/2010","47","PM2.5","White Fish Dead End","30-029-0009","AQS",".","32",".","47"
"02/11/2010","45","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS",".","26",".","45"
"02/12/2010","48","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS",".","21",".","48"
"02/13/2010","40","PM2.5","White Fish Dead End","30-029-0009","AQS",".","27","16","40"
"02/14/2010","34","PM2.5","White Fish Dead End","30-029-0009","AQS",".","23",".","34"
"02/15/2010","60","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS",".","24",".","60"
"02/16/2010","65","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","19",".","65"
"02/17/2010","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","33",".","28"
"02/18/2010","49","PM2.5","White Fish Dead End","30-029-0009","AQS",".","34",".","49"
"02/19/2010","70","PM10","White Fish Dead End","30-029-0009","AQS",".","37","70","52"
"02/20/2010","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","41",".","36"
"02/21/2010","37","PM2.5","White Fish Dead End","30-029-0009","AQS",".","37",".","37"
"02/22/2010","56","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","35",".","56"
"02/23/2010","56","PM2.5","White Fish Dead End","30-029-0009","AQS",".","32",".","56"
"02/24/2010","62","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS",".","21",".","62"
"02/25/2010","56","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","29","26","56"
"02/26/2010","45","PM2.5","White Fish Dead End","30-029-0009","AQS",".","32",".","45"
"02/27/2010","37","PM2.5","White Fish Dead End","30-029-0009","AQS",".","27",".","37"
"02/28/2010","43","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","31",".","43"
"03/01/2010","40","PM2.5","White Fish Dead End","30-029-0009","AQS",".","37",".","40"
"03/02/2010","57","PM2.5","White Fish Dead End","30-029-0009","AQS",".","31",".","57"
"03/03/2010","71","PM10","White Fish Dead End","30-029-0009","AQS",".","28","71","65"
"03/04/2010","54","PM2.5","White Fish Dead End","30-029-0009","AQS",".","26",".","54"
"03/05/2010","35","PM2.5","White Fish Dead End","30-029-0009","AQS",".","34",".","35"
"03/06/2010","65","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","34",".","65"
"03/07/2010","44","PM2.5","White Fish Dead End","30-029-0009","AQS",".","37",".","44"
"03/08/2010","52","PM2.5","White Fish Dead End","30-029-0009","AQS",".","37",".","52"
"03/09/2010","34","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","34","8","34"
"03/10/2010","44","PM2.5","White Fish Dead End","30-029-0009","AQS",".","36",".","44"
"03/11/2010","42","PM2.5","White Fish Dead End","30-029-0009","AQS",".","39",".","42"
"03/12/2010","45","PM2.5","White Fish Dead End","30-029-0009","AQS",".","40",".","45"
"03/13/2010","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","40",".","16"
"03/14/2010","46","PM2.5","White Fish Dead End","30-029-0009","AQS",".","40",".","46"
"03/15/2010","46","PM2.5","White Fish Dead End","30-029-0009","AQS",".","36","28","46"
"03/16/2010","54","PM2.5","White Fish Dead End","30-029-0009","AQS",".","36",".","54"
"03/17/2010","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","41",".","25"
"03/18/2010","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","38",".","35"
"03/19/2010","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","36",".","33"
"03/20/2010","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","41",".","34"
"03/21/2010","57","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS",".","27","49","57"
"03/22/2010","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS",".","33",".","22"
