"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2018","36","PM2.5","Flathead Valley","30-029-0049","AQS","23","10","36"
"01/02/2018","52","PM2.5","Flathead Valley","30-029-0049","AQS","29","12","52"
"01/03/2018","43","PM2.5","Flathead Valley","30-029-0049","AQS","27","12","43"
"01/04/2018","60","PM2.5","Flathead Valley","30-029-0049","AQS","19","15","60"
"01/05/2018","68","PM2.5","Flathead Valley","30-029-0049","AQS","18","19","68"
"01/06/2018","75","PM2.5","Flathead Valley","30-029-0049","AQS","20","23","75"
"01/07/2018","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","27","10","19"
"01/08/2018","46","PM2.5","Flathead Valley","30-029-0049","AQS","23","22","46"
"01/09/2018","60","PM2.5","Flathead Valley","30-029-0049","AQS","24","18","60"
"01/10/2018","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","14","12"
"01/11/2018","27","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","27","11","13"
"01/12/2018","34","PM2.5","Flathead Valley","30-029-0049","AQS","16","11","34"
"01/13/2018","55","PM2.5","Flathead Valley","30-029-0049","AQS","17","17","55"
"01/14/2018","35","PM2.5","Flathead Valley","30-029-0049","AQS","21","10","35"
"01/15/2018","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","12","21"
"01/16/2018","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","26","23","19"
"01/17/2018","47","PM2.5","Flathead Valley","30-029-0049","AQS","19","24","47"
"01/18/2018","43","PM2.5","Flathead Valley","30-029-0049","AQS","27","14","43"
"01/19/2018","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","33","10","12"
"01/20/2018","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","9","13"
"01/21/2018","36","PM2.5","Flathead Valley","30-029-0049","AQS","25","21","36"
"01/22/2018","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","33","29","19"
"01/23/2018","39","PM10","Kalispell Flathead Electric","30-029-0047","AQS","32","39","26"
"01/24/2018","23","PM2.5","Flathead Valley","30-029-0049","AQS","20","10","23"
"01/25/2018","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","20","21"
"01/26/2018","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","18","7"
"01/27/2018","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","9","16"
"01/28/2018","27","PM2.5","Flathead Valley","30-029-0049","AQS","26","12","27"
"01/29/2018","51","PM2.5","Flathead Valley","30-029-0049","AQS","32","15","51"
"01/30/2018","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","16","2"
"01/31/2018","44","PM10","White Fish Dead End","30-029-0009","AQS","37","44","15"
"02/01/2018","32","PM10","Kalispell Flathead Electric","30-029-0047","AQS","29","32","22"
"02/02/2018","23","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","23","11","8"
"02/03/2018","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","26","14","9"
"02/04/2018","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","14","15"
"02/05/2018","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","12","3"
"02/06/2018","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","14","31"
"02/07/2018","21","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","21","17","19"
"02/08/2018","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","41","25","7"
"02/09/2018","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","24","22"
"02/10/2018","34","PM2.5","Flathead Valley","30-029-0049","AQS","33","34","34"
"02/11/2018","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","32","23"
"02/12/2018","43","PM10","White Fish Dead End","30-029-0009","AQS","38","43","40"
"02/13/2018","58","PM2.5","Flathead Valley","30-029-0049","AQS","33","49","58"
"02/14/2018","52","PM2.5","Flathead Valley","30-029-0049","AQS","38","27","52"
"02/15/2018","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","12","12"
"02/16/2018","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","12","21"
"02/17/2018","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","12","28"
"02/18/2018","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","14","0"
"02/19/2018","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","9","30"
"02/20/2018","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","12","34"
"02/21/2018","59","PM2.5","Flathead Valley","30-029-0049","AQS","39","16","59"
