"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2011","67","PM2.5","White Fish Dead End","30-029-0009","AQS","29",".","67"
"01/02/2011","56","PM2.5","White Fish Dead End","30-029-0009","AQS","30",".","56"
"01/03/2011","64","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","30","20","64"
"01/04/2011","51","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","25",".","51"
"01/05/2011","57","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","33",".","57"
"01/06/2011","57","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","36",".","57"
"01/07/2011","47","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","32",".","47"
"01/08/2011","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35",".","12"
"01/09/2011","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","32","7","21"
"01/10/2011","45","PM2.5","White Fish Dead End","30-029-0009","AQS","27",".","45"
"01/11/2011","54","PM2.5","White Fish Dead End","30-029-0009","AQS","24",".","54"
"01/12/2011","66","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","17",".","66"
"01/13/2011","63","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","26",".","63"
"01/14/2011","52","PM2.5","White Fish Dead End","30-029-0009","AQS","31",".","52"
"01/15/2011","52","PM2.5","White Fish Dead End","30-029-0009","AQS","23","14","52"
"01/16/2011","36","PM2.5","White Fish Dead End","30-029-0009","AQS","26",".","36"
"01/17/2011","51","PM2.5","White Fish Dead End","30-029-0009","AQS","28",".","51"
"01/18/2011","42","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","32",".","42"
"01/19/2011","51","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","31",".","51"
"01/20/2011","42","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","33",".","42"
"01/21/2011","57","PM2.5","Columbia Falls Ball Park","30-029-0007","AQS","26","17","57"
