"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2014","56","PM2.5","Flathead Valley","30-029-0049","AQS","24","20","56"
"01/02/2014","66","PM2.5","Flathead Valley","30-029-0049","AQS","30","19","66"
"01/03/2014","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","6","16"
"01/04/2014","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","11","19"
"01/05/2014","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","10","18"
"01/06/2014","40","PM2.5","Flathead Valley","30-029-0049","AQS","26","19","40"
"01/07/2014","66","PM2.5","Flathead Valley","30-029-0049","AQS","20","19","66"
"01/08/2014","74","PM2.5","Flathead Valley","30-029-0049","AQS","14","23","74"
"01/09/2014","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","19","23"
"01/10/2014","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","28","10","6"
"01/11/2014","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","6","3"
"01/12/2014","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","8","5"
"01/13/2014","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","12","9"
"01/14/2014","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","31","14"
"01/15/2014","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","25","27"
"01/16/2014","74","PM2.5","Flathead Valley","30-029-0049","AQS","24","37","74"
"01/17/2014","69","PM2.5","Flathead Valley","30-029-0049","AQS","22","41","69"
"01/18/2014","66","PM2.5","Flathead Valley","30-029-0049","AQS","20","32","66"
"01/19/2014","72","PM2.5","Flathead Valley","30-029-0049","AQS","15","21","72"
"01/20/2014","70","PM2.5","Flathead Valley","30-029-0049","AQS","22","25","70"
"01/21/2014","72","PM2.5","Flathead Valley","30-029-0049","AQS","20","21","72"
"01/22/2014","88","PM2.5","Flathead Valley","30-029-0049","AQS","10","26","88"
"01/23/2014","74","PM2.5","Flathead Valley","30-029-0049","AQS","19","22","74"
"01/24/2014","66","PM2.5","Flathead Valley","30-029-0049","AQS","21","15","66"
"01/25/2014","29","PM2.5","Flathead Valley","30-029-0049","AQS","25","13","29"
"01/26/2014","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","13","28"
"01/27/2014","45","PM10","White Fish Dead End","30-029-0009","AQS","34","45","25"
"01/28/2014","38","PM10","White Fish Dead End","30-029-0009","AQS","28","38","33"
"01/29/2014","61","PM2.5","Flathead Valley","30-029-0049","AQS","29","19","61"
"01/30/2014","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","23","21"
"01/31/2014","54","PM2.5","Flathead Valley","30-029-0049","AQS","31","12","54"
"02/01/2014","50","PM2.5","Flathead Valley","30-029-0049","AQS","31","13","50"
"02/02/2014","54","PM2.5","Flathead Valley","30-029-0049","AQS","36","12","54"
"02/03/2014","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","11","36"
"02/04/2014","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","13","13"
"02/05/2014","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","35","19","11"
"02/06/2014","35","PM2.5","Flathead Valley","30-029-0049","AQS","31","26","35"
"02/07/2014","34","PM2.5","Flathead Valley","30-029-0049","AQS","33","13","34"
"02/08/2014","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","17","25"
"02/09/2014","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","18","27"
"02/10/2014","72","PM2.5","Flathead Valley","30-029-0049","AQS","31","20","72"
"02/11/2014","44","PM2.5","Flathead Valley","30-029-0049","AQS","37","17","44"
"02/12/2014","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","10","22"
"02/13/2014","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","37","8","5"
"02/14/2014","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","11","20"
"02/15/2014","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","12","33"
"02/16/2014","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","40","7","8"
"02/17/2014","39","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","39","11","5"
"02/18/2014","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","6","8"
"02/19/2014","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","12","6"
"02/20/2014","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","34","14","8"
"02/21/2014","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","38","11","13"
"02/22/2014","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","36","9","21"
"02/23/2014","31","PM2.5","Flathead Valley","30-029-0049","AQS","28","30","31"
"02/24/2014","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","29","16","24"
