"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"01/01/2016","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","29","10","13"
"01/02/2016","33","PM2.5","Flathead Valley","30-029-0049","AQS","26","12","33"
"01/03/2016","24","PM2.5","Flathead Valley","30-029-0049","AQS","19","13","24"
"01/04/2016","48","PM2.5","Flathead Valley","30-029-0049","AQS","19","12","48"
"01/05/2016","63","PM2.5","Flathead Valley","30-029-0049","AQS","13","22","63"
"01/06/2016","77","PM2.5","Flathead Valley","30-029-0049","AQS","11","26","77"
"01/07/2016","54","PM2.5","Flathead Valley","30-029-0049","AQS","29","24","54"
"01/08/2016","30","PM2.5","Flathead Valley","30-029-0049","AQS","29","19","30"
"01/09/2016","39","PM2.5","Flathead Valley","30-029-0049","AQS","15","15","39"
"01/10/2016","40","PM2.5","Flathead Valley","30-029-0049","AQS","16","15","40"
"01/11/2016","49","PM2.5","Flathead Valley","30-029-0049","AQS","26","16","49"
"01/12/2016","52","PM2.5","Flathead Valley","30-029-0049","AQS","25","20","52"
"01/13/2016","45","PM2.5","Flathead Valley","30-029-0049","AQS","23","21","45"
"01/14/2016","30","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","30","9","8"
"01/15/2016","28","PM2.5","Flathead Valley","30-029-0049","AQS","25","13","28"
"01/16/2016","43","PM2.5","Flathead Valley","30-029-0049","AQS","27","14","43"
"01/17/2016","40","PM2.5","Flathead Valley","30-029-0049","AQS","19","17","40"
"01/18/2016","35","PM2.5","Flathead Valley","30-029-0049","AQS","20","16","35"
"01/19/2016","38","PM2.5","Flathead Valley","30-029-0049","AQS","20","14","38"
"01/20/2016","18","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","12","11"
"01/21/2016","42","PM2.5","Flathead Valley","30-029-0049","AQS","22","12","42"
"01/22/2016","57","PM2.5","Flathead Valley","30-029-0049","AQS","13","15","57"
"01/23/2016","34","PM2.5","Flathead Valley","30-029-0049","AQS","17","14","34"
"01/24/2016","22","PM2.5","Flathead Valley","30-029-0049","AQS","22","11","22"
"01/25/2016","21","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","21","20","20"
"01/26/2016","55","PM2.5","Flathead Valley","30-029-0049","AQS","19","31","55"
"01/27/2016","49","PM2.5","Flathead Valley","30-029-0049","AQS","11","23","49"
"01/28/2016","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","16","30"
"01/29/2016","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","31","8","5"
