"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25"
"01/01/2008","61","PM2.5","White Fish Dead End","30-029-0009","AQS","11","26","20","61"
"01/02/2008","25","PM10","White Fish Dead End","30-029-0009","AQS","17","15","25","."
"01/03/2008","21","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","21","20","."
"01/04/2008","54","PM2.5","White Fish Dead End","30-029-0009","AQS","22","29","17","54"
"01/05/2008","16","CO","Moose's","30-029-0010","AQS","16",".","7","."
"01/06/2008","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","33","11","."
"01/07/2008","40","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","15","22","17","40"
"01/08/2008","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","31","16","."
"01/09/2008","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","29","10","."
"01/10/2008","40","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","16","31","7","40"
"01/11/2008","27","CO","Moose's","30-029-0010","AQS","27","21","21","."
"01/12/2008","27","CO","Moose's","30-029-0010","AQS","27","20","18","."
"01/13/2008","54","PM2.5","White Fish Dead End","30-029-0009","AQS","16","19","17","54"
"01/14/2008","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","18","34","20","."
"01/15/2008","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","34","18","."
"01/16/2008","71","PM2.5","White Fish Dead End","30-029-0009","AQS","11","27","46","71"
"01/17/2008","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","26","20","."
"01/18/2008","22","PM10","White Fish Dead End","30-029-0009","AQS","13","20","22","."
"01/19/2008","55","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","15","31","31","55"
"01/20/2008","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","35","10","."
"01/21/2008","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","13","29","19","."
"01/22/2008","74","PM2.5","White Fish Dead End","30-029-0009","AQS","16","29","29","74"
"01/23/2008","28","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","28","24","."
"01/24/2008","29","PM10","White Fish Dead End","30-029-0009","AQS","14","25","29","."
"01/25/2008","64","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","14","22","42","64"
"01/26/2008","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","34","23","."
"01/27/2008","17","PM10","White Fish Dead End","30-029-0009","AQS","16",".","17","."
"01/28/2008","35","PM10","White Fish Dead End","30-029-0009","AQS","10",".","35","34"
"01/29/2008","26","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","17","26","19","."
"01/30/2008","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","32","16","."
"01/31/2008","32","PM2.5","White Fish Dead End","30-029-0009","AQS","10","32","12","32"
"02/01/2008","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","29","16","."
"02/02/2008","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","16","31","11","."
"02/03/2008","32","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","32","8","22"
"02/04/2008","29","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","29","19","."
"02/05/2008","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","14","36","17","."
"02/06/2008","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","38","7","13"
"02/07/2008","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","35","6","."
"02/08/2008","36","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","5","36","8","."
"02/09/2008","50","PM2.5","White Fish Dead End","30-029-0009","AQS","17",".","18","50"
"02/10/2008","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","19","31","13","."
"02/11/2008","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","37","13","."
"02/12/2008","40","PM2.5","White Fish Dead End","30-029-0009","AQS","9","34","16","40"
"02/13/2008","35","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","35","7","."
"02/14/2008","31","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","31","14","."
"02/15/2008","34","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","34","31","31"
"02/16/2008","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","33","12","."
"02/17/2008","46","PM10","White Fish Dead End","30-029-0009","AQS","8","34","46","."
"02/18/2008","67","PM10","White Fish Dead End","30-029-0009","AQS","13","31","67","57"
"02/19/2008","76","PM10","White Fish Dead End","30-029-0009","AQS","13","31","76","."
"02/20/2008","71","PM10","White Fish Dead End","30-029-0009","AQS","11","31","71","."
"02/21/2008","72","PM10","White Fish Dead End","30-029-0009","AQS","13","32","72","57"
"02/22/2008","72","PM10","White Fish Dead End","30-029-0009","AQS","14","31","72","."
"02/23/2008","49","PM10","White Fish Dead End","30-029-0009","AQS","16","27","49","."
"02/24/2008","48","PM2.5","Kalispell Flathead Electric","30-029-0047","AQS","15","44","19","48"
"02/25/2008","42","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","42","27","."
"02/26/2008","37","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","9","37","31","."
"02/27/2008","52","PM2.5","White Fish Dead End","30-029-0009","AQS","11","35","37","52"
"02/28/2008","33","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","33","26","."
"02/29/2008","46","PM10","White Fish Dead End","30-029-0009","AQS","17","36","46","."
"03/01/2008","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","15","44","20","25"
"03/02/2008","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","7","44","37","."
"03/03/2008","41","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","6","41","31","."
"03/04/2008","40","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","11","40","39","39"
"03/05/2008","38","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","10","38","34","."
"03/06/2008","53","PM10","White Fish Dead End","30-029-0009","AQS","8","42","53","."
"03/07/2008","52","PM10","White Fish Dead End","30-029-0009","AQS","15","39","52","47"
"03/08/2008","53","PM10","White Fish Dead End","30-029-0009","AQS","14","43","53","."
"03/09/2008","48","PM10","White Fish Dead End","30-029-0009","AQS","14","44","48","."
"03/10/2008","61","PM10","White Fish Dead End","30-029-0009","AQS","11","44","61","40"
"03/11/2008","44","Ozone","Glacier NP - West Glacier Horse Stables","30-029-8001","AQS","8","44","27","."
